# hpos-1,hpos-2,avgfeat-1,avgfeat-2,#npts
30,65,115.72727272727273,0.0039082643740535085,11
1,43,2.0,7.433165782625479e-10,1
11,60,12.0,9.773268103943507e-05,1
20,65,36.724137931034484,0.002393700051562419,58
8,63,9.0,0.0006296830139732367,248
38,67,297.3607594936709,0.01327123303791497,158
9,62,10.0,0.0004130733049533254,459
47,68,839.3809523809524,0.030246950473842932,63
10,61,11.0,0.00021744829272434836,40
17,63,25.808823529411764,0.0008952332070268035,136
0,61,1.0,0.00015113764700142588,1274
35,66,207.6206896551724,0.008197714529679458,29
21,64,40.831541218637994,0.0018281825206767327,279
12,64,14.724137931034482,0.0011546774071428832,29
17,64,26.027431421446384,0.0014237955279124926,401
30,66,117.61111111111111,0.005844201541298035,216
3,62,4.0,0.000326452876135897,842
32,66,148.9041095890411,0.0071164030928777345,219
4,57,5.0,8.553786677236661e-06,1
8,60,9.0,9.775272850047156e-05,13
25,66,68.0,0.004522123536240428,8
5,60,6.0,0.00010604042950555713,135
19,65,33.06666666666667,0.0023345702393543014,30
49,68,1040.878787878788,0.03429324820936484,33
10,62,11.0,0.00041650604220384624,319
1,54,2.0,1.554715292348043e-06,6
0,58,1.0,2.399708957131693e-05,5350
16,63,22.772549019607844,0.0008850801780093468,255
11,63,12.494609164420485,0.0007090791018173204,742
2,53,3.0,5.374415882506886e-07,1
1,59,2.0,4.8152508449896724e-05,2344
17,62,25.875,0.00047960036886481164,8
13,61,16.0,0.00025000422988235725,1
14,64,18.56,0.0012283596386085008,150
36,67,236.40853658536585,0.011000812477887256,164
3,61,4.0,0.00019302955831935597,1926
4,62,5.0,0.00034429060258044564,1045
18,65,29.666666666666668,0.0022788185085730983,6
0,1,1.0,4.9869221152246685e-23,2
5,63,6.0,0.000576325732887893,57
0,52,1.0,3.5063497969483777e-07,59
21,65,41.306451612903224,0.0024513908575904864,186
45,68,668.056179775281,0.025169490076541342,89
51,68,1363.6666666666667,0.0349788200189075,3
0,6,1.0,1.1808568997961969e-21,2
28,66,94.36363636363636,0.0050504137822568376,165
2,54,3.0,1.5757713713389341e-06,1
14,61,18.5,0.0002414811608219196,2
46,68,742.5918367346939,0.028004791177099187,49
12,61,14.090909090909092,0.00022767119151601933,11
18,62,30.0,0.0004940644135374258,1
42,67,464.6521739130435,0.016637663911658482,23
